hour,t(sec),"S1 (kVA)",Ang1,"S2 (kVA)",Ang2,"S3 (kVA)",Ang3
0, 900.00000, 2184.47, -175.359, 2250.26, -175.285, 2215.62, -173.848
0, 1800.00000, 2241, -174.94, 2300.89, -174.571, 2258.87, -173.438
0, 2700.00000, 2124.25, -176.05, 2169.99, -175.834, 2140.48, -174.88
1, 0.00000, 2106.51, -176.125, 2131.08, -176.03, 2115.85, -175.501
1, 900.00000, 2057.67, -176.626, 2080.87, -176.699, 2071.65, -176.107
1, 1800.00000, 2010.1, -176.957, 2036.94, -177.197, 2031, -176.422
1, 2700.00000, 2036.55, -176.247, 2059.05, -177.092, 2073.98, -176.134
2, 0.00000, 2083.39, -175.367, 2103.46, -176.685, 2135.05, -175.562
2, 900.00000, 1959, -177.851, 2005.89, -177.823, 1982, -176.663
2, 1800.00000, 1977.44, -177.615, 2030.53, -177.583, 2003.55, -176.284
2, 2700.00000, 1988.59, -177.568, 2036.9, -177.471, 2010.25, -176.326
3, 0.00000, 1953.73, -177.808, 2003.85, -177.806, 1979.18, -176.55
3, 900.00000, 1994.03, -177.079, 2052.17, -177.396, 2033.4, -175.821
3, 1800.00000, 2074.99, -176.232, 2129.94, -176.456, 2110.11, -175.053
3, 2700.00000, 2040.23, -176.789, 2095.65, -177.074, 2077.41, -175.61
4, 0.00000, 2050.03, -177.181, 2116.4, -177.305, 2087.9, -175.666
4, 900.00000, 2177.08, -175.917, 2258.04, -176.249, 2229.79, -174.284
4, 1800.00000, 2234.5, -175.554, 2331.72, -175.891, 2296.3, -173.625
4, 2700.00000, 2333.52, -175.474, 2412.16, -175.56, 2376.89, -173.876
5, 0.00000, 2423.57, -174.208, 2472.18, -175.248, 2486.58, -173.763
5, 900.00000, 2581.1, -172.183, 2614.73, -173.745, 2659.16, -172.342
5, 1800.00000, 2717.34, -171.666, 2785.29, -172.816, 2799.58, -171.044
5, 2700.00000, 2669.24, -172.62, 2741.24, -173.365, 2736.36, -171.691
6, 0.00000, 2685.23, -172.848, 2771.57, -173.222, 2744.81, -171.477
6, 900.00000, 2799.73, -172.22, 2861.23, -172.163, 2828.54, -171.113
6, 1800.00000, 2797.21, -171.869, 2831.31, -171.713, 2807.77, -171.188
6, 2700.00000, 2942.2, -171.8, 2996.85, -171.366, 2950.42, -170.662
7, 0.00000, 3003.83, -171.712, 3097.95, -171.465, 3040.58, -170.05
7, 900.00000, 3088.89, -171.203, 3176.19, -171.368, 3141.24, -169.907
7, 1800.00000, 3051.16, -170.985, 3100.31, -171.299, 3090.59, -170.354
7, 2700.00000, 3187.85, -169.973, 3218.88, -170.664, 3236.88, -169.845
8, 0.00000, 3134.96, -170.988, 3198.84, -171.899, 3210.85, -170.461
8, 900.00000, 3249.78, -169.742, 3318.05, -171.505, 3371.51, -169.628
8, 1800.00000, 3375.13, -169.191, 3480.25, -170.423, 3492.49, -168.322
8, 2700.00000, 3368.85, -169.547, 3462.82, -169.816, 3430.7, -168.324
9, 0.00000, 3465.67, -169.079, 3527.29, -169.102, 3498.1, -168.216
9, 900.00000, 3462.25, -169.24, 3555.24, -169.214, 3508.29, -167.912
9, 1800.00000, 3499.45, -169.951, 3640.28, -169.566, 3551.21, -167.787
9, 2700.00000, 3541.07, -170.1, 3701.43, -169.485, 3590.23, -167.568
10, 0.00000, 3633.15, -169.584, 3828.49, -169.216, 3713.91, -166.785
10, 900.00000, 3656.58, -169.321, 3817.34, -169.28, 3737.23, -167.165
10, 1800.00000, 3704.99, -168.817, 3830.38, -168.934, 3775.91, -167.229
10, 2700.00000, 3739.93, -168.524, 3875.3, -168.893, 3830.59, -166.958
11, 0.00000, 3792.25, -167.818, 3940.58, -168.362, 3900.26, -166.208
11, 900.00000, 4070.21, -166.902, 4215.88, -167.588, 4187.82, -165.525
11, 1800.00000, 4123.38, -166.735, 4206.25, -168.198, 4257.14, -166.508
11, 2700.00000, 4136.27, -166.187, 4146.54, -168.364, 4276.89, -167.158
12, 0.00000, 4126.31, -166.609, 4152.27, -168.024, 4227.58, -167.014
12, 900.00000, 4144.7, -166.644, 4174.41, -168.184, 4256.1, -167.07
12, 1800.00000, 4304.65, -166.126, 4394.73, -167.687, 4452.59, -165.91
12, 2700.00000, 4262.34, -166.521, 4398.33, -167.33, 4384.75, -165.392
13, 0.00000, 4277.6, -166.67, 4457.93, -167.122, 4400.31, -164.867
13, 900.00000, 4248.44, -166.693, 4403.46, -167.366, 4371.96, -165.276
13, 1800.00000, 4269.64, -166.643, 4425.22, -167.515, 4406.59, -165.335
13, 2700.00000, 4376.81, -166.278, 4520.1, -167.118, 4506.52, -165.127
14, 0.00000, 4485.28, -165.714, 4616.46, -166.715, 4620.87, -164.813
14, 900.00000, 4525.82, -165.336, 4642.64, -166.845, 4689.45, -164.864
14, 1800.00000, 4454.52, -165.806, 4572.11, -166.576, 4566.89, -164.918
14, 2700.00000, 4551.98, -165.67, 4678.53, -166.244, 4656.54, -164.612
15, 0.00000, 4550.13, -165.941, 4691.44, -166.741, 4678.17, -164.848
15, 900.00000, 4734.02, -165.084, 4910.05, -166.279, 4911.24, -163.913
15, 1800.00000, 4727.81, -164.984, 4904.62, -166.175, 4905.01, -163.801
15, 2700.00000, 4622.57, -165.22, 4781.36, -166.369, 4785.31, -164.157
16, 0.00000, 4571.3, -165.45, 4727.74, -166.387, 4717.18, -164.281
16, 900.00000, 4617.78, -165.583, 4791.9, -166.29, 4757.36, -164.127
16, 1800.00000, 4591.62, -165.826, 4764.51, -166.611, 4735.78, -164.414
16, 2700.00000, 4445.55, -166.071, 4597.3, -166.781, 4571.76, -164.785
17, 0.00000, 4556.52, -165.099, 4687.33, -166.276, 4705.2, -164.316
17, 900.00000, 4490.02, -165.286, 4620.82, -166.577, 4645.38, -164.543
17, 1800.00000, 4343.9, -166.28, 4511.06, -166.816, 4465.67, -164.695
17, 2700.00000, 4246.69, -166.318, 4400.08, -166.863, 4360.98, -164.85
18, 0.00000, 4184.23, -166.244, 4291.23, -166.92, 4281.95, -165.346
18, 900.00000, 4228.31, -166.455, 4334.68, -166.994, 4317.35, -165.505
18, 1800.00000, 4199.74, -166.263, 4309.52, -167.009, 4303.55, -165.375
18, 2700.00000, 4150.48, -166.657, 4245.36, -167.466, 4249.93, -165.958
19, 0.00000, 4026.64, -167.146, 4113.45, -167.877, 4115.59, -166.469
19, 900.00000, 4123.22, -167.11, 4229.58, -167.596, 4208.05, -166.102
19, 1800.00000, 4013.46, -167.626, 4133.38, -168.214, 4110.84, -166.476
19, 2700.00000, 4113.07, -167.396, 4246.47, -168.229, 4233.82, -166.256
20, 0.00000, 4017.57, -167.6, 4106.55, -168.565, 4121.86, -167.016
20, 900.00000, 3922.15, -168.399, 3984.38, -169.158, 3998.91, -168.009
20, 1800.00000, 3927.54, -167.923, 3983.42, -169.063, 4023.7, -167.808
20, 2700.00000, 3703.02, -168.884, 3807.96, -169.54, 3793.74, -167.844
21, 0.00000, 3529.39, -169.55, 3645.34, -169.939, 3609.84, -168.154
21, 900.00000, 3360.04, -169.778, 3465.01, -170.124, 3431.58, -168.436
21, 1800.00000, 3132.75, -170.563, 3226.21, -171.241, 3213.05, -169.464
21, 2700.00000, 2969.59, -171.26, 3049.02, -171.958, 3041.8, -170.318
22, 0.00000, 2882.41, -171.754, 2973.72, -172.552, 2964.36, -170.631
22, 900.00000, 2744.56, -172.114, 2839.57, -172.495, 2809.3, -170.629
22, 1800.00000, 2683.34, -172.12, 2745.6, -172.64, 2736.28, -171.254
22, 2700.00000, 2637.79, -172.565, 2701.28, -173.035, 2689.03, -171.631
23, 0.00000, 2565.38, -173.043, 2623.17, -173.651, 2618.55, -172.255
23, 900.00000, 2478.53, -173.585, 2553.66, -174.029, 2533.81, -172.339
23, 1800.00000, 2502.05, -173.424, 2580.66, -173.767, 2555.41, -172.072
23, 2700.00000, 2435.46, -173.775, 2487.15, -174.252, 2479.43, -172.982
24, 0.00000, 2401.95, -174.165, 2441.84, -174.526, 2435.36, -173.534
24, 900.00000, 2184.32, -175.786, 2250.2, -175.699, 2215.08, -174.266
24, 1800.00000, 2240.78, -175.357, 2300.68, -174.976, 2258.24, -173.848
24, 2700.00000, 2124.39, -176.488, 2170.18, -176.262, 2140.3, -175.312
25, 0.00000, 2106.7, -176.568, 2131.39, -176.467, 2115.91, -175.938
25, 900.00000, 2058.05, -177.08, 2081.4, -177.146, 2071.89, -176.554
25, 1800.00000, 2010.5, -177.418, 2037.54, -177.651, 2031.25, -176.875
25, 2700.00000, 2036.81, -176.704, 2059.66, -177.54, 2074.18, -176.578
26, 0.00000, 2083.37, -175.814, 2103.94, -177.124, 2135.04, -175.994
26, 900.00000, 1959.73, -178.324, 2006.7, -178.283, 1982.41, -177.127
26, 1800.00000, 1978.13, -178.082, 2031.32, -178.037, 2003.89, -176.742
26, 2700.00000, 1989.23, -178.033, 2037.61, -177.925, 2010.56, -176.784
27, 0.00000, 1954.46, -178.283, 2004.65, -178.267, 1979.56, -177.016
27, 900.00000, 1994.5, -177.541, 2052.8, -177.843, 2033.51, -176.271
27, 1800.00000, 2075.22, -176.68, 2130.3, -176.892, 2110.01, -175.492
27, 2700.00000, 2040.67, -177.246, 2096.24, -177.518, 2077.52, -176.056
28, 0.00000, 2050.56, -177.633, 2117.03, -177.742, 2088.01, -176.109
28, 900.00000, 2177.18, -176.346, 2258.27, -176.662, 2229.43, -174.702
28, 1800.00000, 2234.46, -175.973, 2331.82, -176.292, 2295.71, -174.031
28, 2700.00000, 2333.41, -175.877, 2412.15, -175.949, 2376.34, -174.27
29, 0.00000, 2423.23, -174.405, 2472.04, -175.438, 2486.14, -173.953
29, 900.00000, 2580.49, -172.368, 2614.4, -173.926, 2658.53, -172.52
29, 1800.00000, 2716.6, -171.843, 2784.78, -172.987, 2798.72, -171.213
29, 2700.00000, 2668.66, -172.8, 2740.81, -173.539, 2735.63, -171.866
30, 0.00000, 2684.67, -173.027, 2771.1, -173.395, 2744.06, -171.65
30, 900.00000, 2799.03, -172.393, 2860.6, -172.331, 2827.7, -171.281
30, 1800.00000, 2796.46, -172.042, 2830.62, -171.883, 2806.93, -171.358
30, 2700.00000, 2941.4, -171.965, 2996.07, -171.528, 2949.48, -170.825
31, 0.00000, 3002.99, -171.874, 3097.12, -171.621, 3039.51, -170.209
31, 900.00000, 3087.95, -171.361, 3175.31, -171.521, 3140.11, -170.062
31, 1800.00000, 3050.19, -171.145, 3099.45, -171.456, 3089.52, -170.511
31, 2700.00000, 3186.68, -170.127, 3217.89, -170.816, 3235.69, -169.995
32, 0.00000, 3133.97, -171.145, 3198.04, -172.052, 3209.77, -170.613
32, 900.00000, 3248.54, -169.894, 3317.12, -171.653, 3370.21, -169.773
32, 1800.00000, 3373.75, -169.338, 3479.06, -170.565, 3490.96, -168.464
32, 2700.00000, 3367.52, -169.694, 3461.59, -169.959, 3429.2, -168.467
33, 0.00000, 3464.24, -169.222, 3525.96, -169.242, 3496.56, -168.356
33, 900.00000, 3460.83, -169.384, 3553.9, -169.354, 3506.71, -168.052
33, 1800.00000, 3498.1, -170.093, 3638.97, -169.704, 3549.61, -167.925
33, 2700.00000, 3539.69, -170.241, 3700.06, -169.62, 3588.56, -167.706
34, 0.00000, 3631.66, -169.723, 3826.99, -169.348, 3712.08, -166.919
34, 900.00000, 3655.05, -169.459, 3815.87, -169.413, 3735.42, -167.299
34, 1800.00000, 3703.38, -168.954, 3828.87, -169.066, 3774.09, -167.361
34, 2700.00000, 3738.27, -168.66, 3873.75, -169.023, 3828.7, -167.089
35, 0.00000, 3790.43, -167.952, 3938.9, -168.491, 3898.2, -166.337
35, 900.00000, 4068.09, -167.029, 4213.93, -167.71, 4185.47, -165.646
35, 1800.00000, 4123.07, -166.737, 4205.98, -168.198, 4256.74, -166.508
35, 2700.00000, 4136.27, -166.187, 4146.54, -168.364, 4276.89, -167.158
36, 0.00000, 4126.31, -166.609, 4152.27, -168.024, 4227.58, -167.014
36, 900.00000, 4144.7, -166.644, 4174.41, -168.184, 4256.1, -167.07
36, 1800.00000, 4304.65, -166.126, 4394.73, -167.687, 4452.59, -165.91
36, 2700.00000, 4262.34, -166.521, 4398.33, -167.33, 4384.75, -165.392
37, 0.00000, 4277.6, -166.67, 4457.93, -167.122, 4400.31, -164.867
37, 900.00000, 4248.44, -166.693, 4403.46, -167.366, 4371.96, -165.276
37, 1800.00000, 4269.64, -166.643, 4425.22, -167.515, 4406.59, -165.335
37, 2700.00000, 4376.81, -166.278, 4520.1, -167.118, 4506.52, -165.127
38, 0.00000, 4485.28, -165.714, 4616.46, -166.715, 4620.87, -164.813
38, 900.00000, 4525.82, -165.336, 4642.64, -166.845, 4689.45, -164.864
38, 1800.00000, 4454.52, -165.806, 4572.11, -166.576, 4566.89, -164.918
38, 2700.00000, 4551.98, -165.67, 4678.53, -166.244, 4656.54, -164.612
39, 0.00000, 4550.13, -165.941, 4691.44, -166.741, 4678.17, -164.848
39, 900.00000, 4734.02, -165.084, 4910.05, -166.279, 4911.24, -163.913
39, 1800.00000, 4727.81, -164.984, 4904.62, -166.175, 4905.01, -163.801
39, 2700.00000, 4622.57, -165.22, 4781.36, -166.369, 4785.31, -164.157
40, 0.00000, 4571.3, -165.45, 4727.74, -166.387, 4717.18, -164.281
40, 900.00000, 4617.78, -165.583, 4791.9, -166.29, 4757.36, -164.127
40, 1800.00000, 4591.62, -165.826, 4764.51, -166.611, 4735.78, -164.414
40, 2700.00000, 4445.55, -166.071, 4597.3, -166.781, 4571.76, -164.785
41, 0.00000, 4556.52, -165.099, 4687.33, -166.276, 4705.2, -164.316
41, 900.00000, 4490.02, -165.286, 4620.82, -166.577, 4645.38, -164.543
41, 1800.00000, 4343.9, -166.28, 4511.06, -166.816, 4465.67, -164.695
41, 2700.00000, 4246.69, -166.318, 4400.08, -166.863, 4360.98, -164.85
42, 0.00000, 4184.23, -166.244, 4291.23, -166.92, 4281.95, -165.346
42, 900.00000, 4228.31, -166.455, 4334.68, -166.994, 4317.35, -165.505
42, 1800.00000, 4199.74, -166.263, 4309.52, -167.009, 4303.55, -165.375
42, 2700.00000, 4150.48, -166.657, 4245.36, -167.466, 4249.93, -165.958
43, 0.00000, 4026.64, -167.146, 4113.45, -167.877, 4115.59, -166.469
43, 900.00000, 4123.22, -167.11, 4229.58, -167.596, 4208.05, -166.102
43, 1800.00000, 4013.46, -167.626, 4133.38, -168.214, 4110.84, -166.476
43, 2700.00000, 4113.07, -167.396, 4246.47, -168.229, 4233.82, -166.256
44, 0.00000, 4017.57, -167.6, 4106.55, -168.565, 4121.86, -167.016
44, 900.00000, 3922.15, -168.399, 3984.38, -169.158, 3998.91, -168.009
44, 1800.00000, 3927.54, -167.923, 3983.42, -169.063, 4023.7, -167.808
44, 2700.00000, 3703.02, -168.884, 3807.96, -169.54, 3793.74, -167.844
45, 0.00000, 3529.39, -169.55, 3645.34, -169.939, 3609.84, -168.154
45, 900.00000, 3360.04, -169.778, 3465.01, -170.124, 3431.58, -168.436
45, 1800.00000, 3132.75, -170.563, 3226.21, -171.241, 3213.05, -169.464
45, 2700.00000, 2969.59, -171.26, 3049.02, -171.958, 3041.8, -170.318
46, 0.00000, 2882.41, -171.754, 2973.72, -172.552, 2964.36, -170.631
46, 900.00000, 2744.56, -172.114, 2839.57, -172.495, 2809.3, -170.629
46, 1800.00000, 2683.34, -172.12, 2745.6, -172.64, 2736.28, -171.254
46, 2700.00000, 2637.79, -172.565, 2701.28, -173.035, 2689.03, -171.631
47, 0.00000, 2565.38, -173.043, 2623.17, -173.651, 2618.55, -172.255
47, 900.00000, 2478.53, -173.585, 2553.66, -174.029, 2533.81, -172.339
47, 1800.00000, 2502.05, -173.424, 2580.66, -173.767, 2555.41, -172.072
47, 2700.00000, 2435.46, -173.775, 2487.15, -174.252, 2479.43, -172.982
48, 0.00000, 2401.95, -174.165, 2441.84, -174.526, 2435.36, -173.534
48, 900.00000, 2184.32, -175.786, 2250.2, -175.699, 2215.08, -174.266
48, 1800.00000, 2240.78, -175.357, 2300.68, -174.976, 2258.24, -173.848
48, 2700.00000, 2124.39, -176.488, 2170.18, -176.262, 2140.3, -175.312
49, 0.00000, 2106.7, -176.568, 2131.39, -176.467, 2115.91, -175.938
49, 900.00000, 2058.05, -177.08, 2081.4, -177.146, 2071.89, -176.554
49, 1800.00000, 2010.5, -177.418, 2037.54, -177.651, 2031.25, -176.875
49, 2700.00000, 2036.81, -176.704, 2059.66, -177.54, 2074.18, -176.578
50, 0.00000, 2083.37, -175.814, 2103.94, -177.124, 2135.04, -175.994
50, 900.00000, 1959.73, -178.324, 2006.7, -178.283, 1982.41, -177.127
50, 1800.00000, 1978.13, -178.082, 2031.32, -178.037, 2003.89, -176.742
50, 2700.00000, 1989.23, -178.033, 2037.61, -177.925, 2010.56, -176.784
51, 0.00000, 1954.46, -178.283, 2004.65, -178.267, 1979.56, -177.016
51, 900.00000, 1994.5, -177.541, 2052.8, -177.843, 2033.51, -176.271
51, 1800.00000, 2075.22, -176.68, 2130.3, -176.892, 2110.01, -175.492
51, 2700.00000, 2040.67, -177.246, 2096.24, -177.518, 2077.52, -176.056
52, 0.00000, 2050.56, -177.633, 2117.03, -177.742, 2088.01, -176.109
52, 900.00000, 2177.18, -176.346, 2258.27, -176.662, 2229.43, -174.702
52, 1800.00000, 2234.46, -175.973, 2331.82, -176.292, 2295.71, -174.031
52, 2700.00000, 2333.41, -175.877, 2412.15, -175.949, 2376.34, -174.27
53, 0.00000, 2423.23, -174.405, 2472.04, -175.438, 2486.14, -173.953
53, 900.00000, 2580.49, -172.368, 2614.4, -173.926, 2658.53, -172.52
53, 1800.00000, 2716.6, -171.843, 2784.78, -172.987, 2798.72, -171.213
53, 2700.00000, 2668.66, -172.8, 2740.81, -173.539, 2735.63, -171.866
54, 0.00000, 2684.67, -173.027, 2771.1, -173.395, 2744.06, -171.65
54, 900.00000, 2799.03, -172.393, 2860.6, -172.331, 2827.7, -171.281
54, 1800.00000, 2796.46, -172.042, 2830.62, -171.883, 2806.93, -171.358
54, 2700.00000, 2941.4, -171.965, 2996.07, -171.528, 2949.48, -170.825
55, 0.00000, 3002.99, -171.874, 3097.12, -171.621, 3039.51, -170.209
55, 900.00000, 3087.95, -171.361, 3175.31, -171.521, 3140.11, -170.062
55, 1800.00000, 3050.19, -171.145, 3099.45, -171.456, 3089.52, -170.511
55, 2700.00000, 3186.68, -170.127, 3217.89, -170.816, 3235.69, -169.995
56, 0.00000, 3133.97, -171.145, 3198.04, -172.052, 3209.77, -170.613
56, 900.00000, 3248.54, -169.894, 3317.12, -171.653, 3370.21, -169.773
56, 1800.00000, 3373.75, -169.338, 3479.06, -170.565, 3490.96, -168.464
56, 2700.00000, 3367.52, -169.694, 3461.59, -169.959, 3429.2, -168.467
57, 0.00000, 3464.24, -169.222, 3525.96, -169.242, 3496.56, -168.356
57, 900.00000, 3460.83, -169.384, 3553.9, -169.354, 3506.71, -168.052
57, 1800.00000, 3498.1, -170.093, 3638.97, -169.704, 3549.61, -167.925
57, 2700.00000, 3539.69, -170.241, 3700.06, -169.62, 3588.56, -167.706
58, 0.00000, 3631.66, -169.723, 3826.99, -169.348, 3712.08, -166.919
58, 900.00000, 3655.05, -169.459, 3815.87, -169.413, 3735.42, -167.299
58, 1800.00000, 3703.38, -168.954, 3828.87, -169.066, 3774.09, -167.361
58, 2700.00000, 3738.27, -168.66, 3873.75, -169.023, 3828.7, -167.089
59, 0.00000, 3790.43, -167.952, 3938.9, -168.491, 3898.2, -166.337
59, 900.00000, 4068.09, -167.029, 4213.93, -167.71, 4185.47, -165.646
59, 1800.00000, 4123.07, -166.737, 4205.98, -168.198, 4256.74, -166.508
59, 2700.00000, 4136.27, -166.187, 4146.54, -168.364, 4276.89, -167.158
60, 0.00000, 4126.31, -166.609, 4152.27, -168.024, 4227.58, -167.014
60, 900.00000, 4144.7, -166.644, 4174.41, -168.184, 4256.1, -167.07
60, 1800.00000, 4304.65, -166.126, 4394.73, -167.687, 4452.59, -165.91
60, 2700.00000, 4262.34, -166.521, 4398.33, -167.33, 4384.75, -165.392
61, 0.00000, 4277.6, -166.67, 4457.93, -167.122, 4400.31, -164.867
61, 900.00000, 4248.44, -166.693, 4403.46, -167.366, 4371.96, -165.276
61, 1800.00000, 4269.64, -166.643, 4425.22, -167.515, 4406.59, -165.335
61, 2700.00000, 4376.81, -166.278, 4520.1, -167.118, 4506.52, -165.127
62, 0.00000, 4485.28, -165.714, 4616.46, -166.715, 4620.87, -164.813
62, 900.00000, 4525.82, -165.336, 4642.64, -166.845, 4689.45, -164.864
62, 1800.00000, 4454.52, -165.806, 4572.11, -166.576, 4566.89, -164.918
62, 2700.00000, 4551.98, -165.67, 4678.53, -166.244, 4656.54, -164.612
63, 0.00000, 4550.13, -165.941, 4691.44, -166.741, 4678.17, -164.848
63, 900.00000, 4734.02, -165.084, 4910.05, -166.279, 4911.24, -163.913
63, 1800.00000, 4727.81, -164.984, 4904.62, -166.175, 4905.01, -163.801
63, 2700.00000, 4622.57, -165.22, 4781.36, -166.369, 4785.31, -164.157
64, 0.00000, 4571.3, -165.45, 4727.74, -166.387, 4717.18, -164.281
64, 900.00000, 4617.78, -165.583, 4791.9, -166.29, 4757.36, -164.127
64, 1800.00000, 4591.62, -165.826, 4764.51, -166.611, 4735.78, -164.414
64, 2700.00000, 4445.55, -166.071, 4597.3, -166.781, 4571.76, -164.785
65, 0.00000, 4556.52, -165.099, 4687.33, -166.276, 4705.2, -164.316
65, 900.00000, 4490.02, -165.286, 4620.82, -166.577, 4645.38, -164.543
65, 1800.00000, 4343.9, -166.28, 4511.06, -166.816, 4465.67, -164.695
65, 2700.00000, 4246.69, -166.318, 4400.08, -166.863, 4360.98, -164.85
66, 0.00000, 4184.23, -166.244, 4291.23, -166.92, 4281.95, -165.346
66, 900.00000, 4228.31, -166.455, 4334.68, -166.994, 4317.35, -165.505
66, 1800.00000, 4199.74, -166.263, 4309.52, -167.009, 4303.55, -165.375
66, 2700.00000, 4150.48, -166.657, 4245.36, -167.466, 4249.93, -165.958
67, 0.00000, 4026.64, -167.146, 4113.45, -167.877, 4115.59, -166.469
67, 900.00000, 4123.22, -167.11, 4229.58, -167.596, 4208.05, -166.102
67, 1800.00000, 4013.46, -167.626, 4133.38, -168.214, 4110.84, -166.476
67, 2700.00000, 4113.07, -167.396, 4246.47, -168.229, 4233.82, -166.256
68, 0.00000, 4017.57, -167.6, 4106.55, -168.565, 4121.86, -167.016
68, 900.00000, 3922.15, -168.399, 3984.38, -169.158, 3998.91, -168.009
68, 1800.00000, 3927.54, -167.923, 3983.42, -169.063, 4023.7, -167.808
68, 2700.00000, 3703.02, -168.884, 3807.96, -169.54, 3793.74, -167.844
69, 0.00000, 3529.39, -169.55, 3645.34, -169.939, 3609.84, -168.154
69, 900.00000, 3360.04, -169.778, 3465.01, -170.124, 3431.58, -168.436
69, 1800.00000, 3132.75, -170.563, 3226.21, -171.241, 3213.05, -169.464
69, 2700.00000, 2969.59, -171.26, 3049.02, -171.958, 3041.8, -170.318
70, 0.00000, 2882.41, -171.754, 2973.72, -172.552, 2964.36, -170.631
70, 900.00000, 2744.56, -172.114, 2839.57, -172.495, 2809.3, -170.629
70, 1800.00000, 2683.34, -172.12, 2745.6, -172.64, 2736.28, -171.254
70, 2700.00000, 2637.79, -172.565, 2701.28, -173.035, 2689.03, -171.631
71, 0.00000, 2565.38, -173.043, 2623.17, -173.651, 2618.55, -172.255
71, 900.00000, 2478.53, -173.585, 2553.66, -174.029, 2533.81, -172.339
71, 1800.00000, 2502.05, -173.424, 2580.66, -173.767, 2555.41, -172.072
71, 2700.00000, 2435.46, -173.775, 2487.15, -174.252, 2479.43, -172.982
72, 0.00000, 2401.95, -174.165, 2441.84, -174.526, 2435.36, -173.534
72, 900.00000, 2184.32, -175.786, 2250.2, -175.699, 2215.08, -174.266
72, 1800.00000, 2240.78, -175.357, 2300.68, -174.976, 2258.24, -173.848
72, 2700.00000, 2124.39, -176.488, 2170.18, -176.262, 2140.3, -175.312
73, 0.00000, 2106.7, -176.568, 2131.39, -176.467, 2115.91, -175.938
73, 900.00000, 2058.05, -177.08, 2081.4, -177.146, 2071.89, -176.554
73, 1800.00000, 2010.5, -177.418, 2037.54, -177.651, 2031.25, -176.875
73, 2700.00000, 2036.81, -176.704, 2059.66, -177.54, 2074.18, -176.578
74, 0.00000, 2083.37, -175.814, 2103.94, -177.124, 2135.04, -175.994
74, 900.00000, 1959.73, -178.324, 2006.7, -178.283, 1982.41, -177.127
74, 1800.00000, 1978.13, -178.082, 2031.32, -178.037, 2003.89, -176.742
74, 2700.00000, 1989.23, -178.033, 2037.61, -177.925, 2010.56, -176.784
75, 0.00000, 1954.46, -178.283, 2004.65, -178.267, 1979.56, -177.016
75, 900.00000, 1994.5, -177.541, 2052.8, -177.843, 2033.51, -176.271
75, 1800.00000, 2075.22, -176.68, 2130.3, -176.892, 2110.01, -175.492
75, 2700.00000, 2040.67, -177.246, 2096.24, -177.518, 2077.52, -176.056
76, 0.00000, 2050.56, -177.633, 2117.03, -177.742, 2088.01, -176.109
76, 900.00000, 2177.18, -176.346, 2258.27, -176.662, 2229.43, -174.702
76, 1800.00000, 2234.46, -175.973, 2331.82, -176.292, 2295.71, -174.031
76, 2700.00000, 2333.41, -175.877, 2412.15, -175.949, 2376.34, -174.27
77, 0.00000, 2423.23, -174.405, 2472.04, -175.438, 2486.14, -173.953
77, 900.00000, 2580.49, -172.368, 2614.4, -173.926, 2658.53, -172.52
77, 1800.00000, 2716.6, -171.843, 2784.78, -172.987, 2798.72, -171.213
77, 2700.00000, 2668.66, -172.8, 2740.81, -173.539, 2735.63, -171.866
78, 0.00000, 2684.67, -173.027, 2771.1, -173.395, 2744.06, -171.65
78, 900.00000, 2799.03, -172.393, 2860.6, -172.331, 2827.7, -171.281
78, 1800.00000, 2796.46, -172.042, 2830.62, -171.883, 2806.93, -171.358
78, 2700.00000, 2941.4, -171.965, 2996.07, -171.528, 2949.48, -170.825
79, 0.00000, 3002.99, -171.874, 3097.12, -171.621, 3039.51, -170.209
79, 900.00000, 3087.95, -171.361, 3175.31, -171.521, 3140.11, -170.062
79, 1800.00000, 3050.19, -171.145, 3099.45, -171.456, 3089.52, -170.511
79, 2700.00000, 3186.68, -170.127, 3217.89, -170.816, 3235.69, -169.995
80, 0.00000, 3133.97, -171.145, 3198.04, -172.052, 3209.77, -170.613
80, 900.00000, 3248.54, -169.894, 3317.12, -171.653, 3370.21, -169.773
80, 1800.00000, 3373.75, -169.338, 3479.06, -170.565, 3490.96, -168.464
80, 2700.00000, 3367.52, -169.694, 3461.59, -169.959, 3429.2, -168.467
81, 0.00000, 3464.24, -169.222, 3525.96, -169.242, 3496.56, -168.356
81, 900.00000, 3460.83, -169.384, 3553.9, -169.354, 3506.71, -168.052
81, 1800.00000, 3498.1, -170.093, 3638.97, -169.704, 3549.61, -167.925
81, 2700.00000, 3539.69, -170.241, 3700.06, -169.62, 3588.56, -167.706
82, 0.00000, 3631.66, -169.723, 3826.99, -169.348, 3712.08, -166.919
82, 900.00000, 3655.05, -169.459, 3815.87, -169.413, 3735.42, -167.299
82, 1800.00000, 3703.38, -168.954, 3828.87, -169.066, 3774.09, -167.361
82, 2700.00000, 3738.27, -168.66, 3873.75, -169.023, 3828.7, -167.089
83, 0.00000, 3790.43, -167.952, 3938.9, -168.491, 3898.2, -166.337
83, 900.00000, 4068.09, -167.029, 4213.93, -167.71, 4185.47, -165.646
83, 1800.00000, 4123.07, -166.737, 4205.98, -168.198, 4256.74, -166.508
83, 2700.00000, 4136.27, -166.187, 4146.54, -168.364, 4276.89, -167.158
84, 0.00000, 4126.31, -166.609, 4152.27, -168.024, 4227.58, -167.014
