59,1430
60,1050
60,1051
60,1120
60,1424
60,1425
60,1426
60,1427
60,1428
60,1429
60,1430
60,1431
60,1432
60,1433
60,1434
60,1435
60,1436
60,1437
60,1542
60,1546
60,1548
60,1549
60,1562
61,1050
61,1051
61,1120
61,1121
61,1424
61,1425
61,1426
61,1427
61,1428
61,1429
61,1430
61,1431
61,1432
61,1433
61,1434
61,1435
61,1436
61,1437
61,1542
61,1543
61,1546
61,1547
61,1548
61,1549
61,1562
61,1563
62,1426
62,1430
62,1431
62,1436
62,1548
62,1549
63,1426
63,1430
63,1431
63,1436
63,1548
63,1549
64,1426
64,1427
64,1428
64,1430
64,1431
64,1432
64,1433
64,1434
64,1435
64,1436
64,1437
64,1548
64,1549
65,1426
65,1427
65,1430
65,1431
65,1432
65,1436
65,1437
65,1548
68,1430
68,1431
69,1426
69,1430
69,1431
69,1436
